County,HospTotal,ICU,Day
Barnstable,9,5,22
Plymouth,63,9,22
Worchester,4,2,22
Worchester,26,6,22
Worchester,9,2,22
Essex,25,10,22
Hampden,14,0,22
Middlesex,73,24,22
Essex,0,0,22
Essex,35,10,22
Middlesex,60,13,22
Middlesex,22,6,22
Dukes,0,0,22
Suffolk,222,75,22
Middlesex,28,6,22
Hampden,25,7,22
Essex,0,0,22
Middlesex,46,11,22
Middlesex,11,3,22
Worchester,24,5,22
Bristol,31,7,22
Middlesex,33,8,22
Nantucket,0,0,22
Middlesex,0,0,22
Suffolk,0,0,22
Middlesex,42,9,22
Essex,83,13,22
Norfolk,23,4,22
Worchester,53,18,22
Middlesex,0,0,22
Norfolk,69,13,22
Bristol,73,15,22
Bristol,0,0,22
Suffolk,26,8,22
Bristol,79,13,22
Bristol,26,5,22
Plymouth,27,5,22
Suffolk,66,33,22
Worchester,73,16,22
Worchester,95,43,22
Middlesex,18,2,22
Essex,0,0,23
Essex,7,3,23
Worchester,0,0,23
Franklin,6,0,23
Hampden,75,17,23
Hampden,2,0,23
Hampden,6,0,23
Berkshire,4,0,23
Norfolk,14,2,23
Norfolk,11,4,23
Plymouth,54,6,23
Suffolk,131,60,23
Essex,36,7,23
Suffolk,8,3,23
Suffolk,100,31,23
Suffolk,35,3,23
Suffolk,105,43,23
Plymouth,36,11,23
Middlesex,38,11,23
Barnstable,12,5,23
Suffolk,42,10,23
Worchester,1,0,23
Hampshire,12,5,23
Middlesex,22,2,23
Berkshire,0,0,23
Barnstable,10,2,23
Plymouth,52,8,23
Worchester,4,2,23
Worchester,27,6,23
Worchester,11,2,23
Essex,21,6,23
Hampden,16,1,23
Middlesex,80,26,23
Essex,0,0,23
Essex,41,9,23
Middlesex,53,12,23
Middlesex,21,5,23
Dukes,0,0,23
Suffolk,215,70,23
Middlesex,23,6,23
Hampden,17,8,23
Essex,0,0,23
Middlesex,47,12,23
Middlesex,11,3,23
Worchester,21,3,23
Bristol,29,7,23
Middlesex,33,11,23
Nantucket,0,0,23
Middlesex,0,0,23
Suffolk,0,0,23
Middlesex,67,9,23
Essex,81,14,23
Norfolk,22,5,23
Worchester,49,17,23
Middlesex,0,0,23
Norfolk,60,10,23
Bristol,70,17,23
Bristol,0,0,23
Suffolk,33,4,23
Bristol,75,13,23
Bristol,24,4,23
Plymouth,25,5,23
Suffolk,64,31,23
Worchester,59,13,23
Worchester,86,42,23
Middlesex,27,4,23
